original_title,runtime,year_release,revenue_final_adjusted
I Spy,97.0,2002,55469682
Like Mike,99.0,2002,102927450
Men in Black II,88.0,2002,730235946
The Legend of Bhagat Singh,155.0,2002,9916770
The Powerpuff Girls Movie,77.0,2002,18861109
Insomnia,118.0,2002,187947312
The Quiet American,101.0,2002,45739656
Spirit: Stallion of the Cimarron,83.0,2002,202572415
Analyze That,96.0,2002,90908911
Eight Crazy Nights,76.0,2002,39391281
Mr. Deeds,96.0,2002,283073445
The Sum of All Fears,124.0,2002,318989451
Villan,157.0,2002,826397
Bad Company,116.0,2002,109046949
Undercover Brother,86.0,2002,68763668
Divine Secrets of the Ya-Ya Sisterhood,116.0,2002,122041133
Die Another Day,133.0,2002,713959738
Atanarjuat,172.0,2002,6258806
Friday After Next,85.0,2002,55412988
The Bourne Identity,119.0,2002,353754713
Scooby-Doo,88.0,2002,455594127
Windtalkers,134.0,2002,128303614
ना तुम जानो ना हम,151.0,2002,10082050
英雄,99.0,2002,293196645
Snow Queen,180.0,2002,2065993
Ken Park,97.0,2002,740024
G,96.0,2002,4992736
無間道,101.0,2002,14394080
Men with Brooms,102.0,2002,7017553
Enough,114.0,2002,85616747
Lilo & Stitch,85.0,2002,240930463
Treasure Planet,95.0,2002,181110170
Ararat,115.0,2002,4534172
Harry Potter and the Chamber of Secrets,161.0,2002,1448986415
Minority Report,145.0,2002,592317011
Ônibus 174,150.0,2002,358988
The Rules of Attraction,110.0,2002,19534788
Company,156.0,2002,9916770
Frida,123.0,2002,93049841
The Ring,115.0,2002,412122691
Abandon,99.0,2002,17716900
Swept Away,89.0,2002,989437
Punch-Drunk Love,95.0,2002,28097516
S1m0ne,117.0,2002,32355154
Undisputed,96.0,2002,20492391
Comedian,82.0,2002,4535687
Bowling for Columbine,120.0,2002,58780786
Tuck Everlasting,90.0,2002,31664370
Empire,90.0,2002,30727563
Brown Sugar,109.0,2002,45224955
Below,105.0,2002,1000869
FearDotCom,101.0,2002,31241157
City By The Sea,108.0,2002,37078664
Beyond the Gates of Splendor,96.0,2002,62
Swimfan,84.0,2002,56874728
Barbershop,102.0,2002,125251525
The Transporter,92.0,2002,72605522
Igby Goes Down,97.0,2002,7896170
Erkan & Stefan gegen die Mächte der Finsternis,80.0,2002,7450972
Balseros,120.0,2002,102726
Bloody Sunday,107.0,2002,1277987
Red Dragon,124.0,2002,345758613
Skins,84.0,2002,411883
Moonlight Mile,117.0,2002,16546214
Just a Kiss,89.0,2002,105443
Sweet Home Alabama,108.0,2002,298531854
Secretary,104.0,2002,15378612
Trapped,106.0,2002,11432167
Auto Focus,104.0,2002,3408172
Hansel & Gretel,89.0,2002,166067
Serving Sara,100.0,2002,27982126
Naqoyqatsi,89.0,2002,21995
The Truth About Charlie,104.0,2002,11723744
Paid in Full,93.0,2002,5108561
Jackass: The Movie,87.0,2002,106245489
Ghost Ship,91.0,2002,112968352
The Crocodile Hunter: Collision Course,90.0,2002,54678672
Reign of Fire,101.0,2002,71172632
Road to Perdition,117.0,2002,299158353
Dahmer,101.0,2002,238015
Halloween: Resurrection,94.0,2002,62252287
Антикиллер,113.0,2002,562466
K-19: The Widowmaker,138.0,2002,58127094
Stuart Little 2,78.0,2002,280903773
Austin Powers in Goldmember,94.0,2002,490310638
The Country Bears,88.0,2002,44628933
Roger Dodger,106.0,2002,2083779
The Kid Stays in the Picture,93.0,2002,2370828
Signs,106.0,2002,674750151
Spy Kids 2: The Island of Lost Dreams,100.0,2002,197878177
The Good Girl,93.0,2002,27859718
Confessions of a Dangerous Mind,113.0,2002,54565054
Clockstoppers,94.0,2002,64117347
Blood Work,110.0,2002,43302432
xXx,124.0,2002,458565322
Martin Lawrence Live: Runteldat,113.0,2002,31707245
The Adventures of Pluto Nash,95.0,2002,11741411
Blue Crush,104.0,2002,85685325
Sweet Sixteen,106.0,2002,522810
Russkiy Kovcheg,99.0,2002,11112951
Possession,102.0,2002,16715928
One Hour Photo,96.0,2002,86314423
Tadpole,78.0,2002,4778706
Adaptation.,114.0,2002,54213617
À la folie... pas du tout,92.0,2002,8472663
Dark Blue,118.0,2002,15267645
Hart's War,125.0,2002,53363867
John Q,116.0,2002,168989653
Return to Never Land,72.0,2002,181580501
Space Station 3D,47.0,2002,196271806
Dragonfly,104.0,2002,86478205
Boat Trip,94.0,2002,14191520
Queen of the Damned,101.0,2002,75167649
State Property,88.0,2002,3482171
40 Days and 40 Nights,94.0,2002,157257309
Bend It Like Beckham,112.0,2002,126568801
Irréversible,97.0,2002,1309
We Were Soldiers,138.0,2002,189510780
All About the Benjamins,95.0,2002,42118063
Crossroads,93.0,2002,101053593
The Time Machine,96.0,2002,204498974
Full Frontal,96.0,2002,4142641
Desmundo,101.0,2002,4
Zvezda,97.0,2002,1337111
Ice Age,81.0,2002,633445511
Resident Evil,100.0,2002,170212873
Equilibrium,107.0,2002,8858394
The Four Feathers,132.0,2002,49389888
Amandla! A Revolution in Four-Part Harmony,103.0,2002,669929
Showtime,95.0,2002,128491152
Небо. Самолёт. Девушка.,91.0,2002,519299
Blade II,117.0,2002,256199819
Sorority Boys,93.0,2002,20688842
Stolen Summer,91.0,2002,222690
ده,94.0,2002,174627
Clockstoppers,94.0,2002,64117347
Collateral Damage,108.0,2002,129550100
Slackers,86.0,2002,10600887
The Magdalene Sisters,119.0,2002,34637628
Los lunes al sol,113.0,2002,241972
L'imbalsamatore,101.0,2002,94007
Waking Up in Reno,91.0,2002,432376
Big Trouble,85.0,2002,14038659
28 Days Later,113.0,2002,136719019
Bubba Ho-tep,92.0,2002,2048115
劇場版ポケットモンスター 水の都の護神 ラティアスとラティオス,71.0,2002,34490393
L'Auberge espagnole,122.0,2002,6442263
Washington Heights,89.0,2002,257870
Blue Car,92.0,2002,766896
People I Know,100.0,2002,209562
Dom durakov,104.0,2002,95634
Big Fat Liar,88.0,2002,87548578
쓰리,140.0,2002,4008028
Long Time Dead,94.0,2002,21655408
Pure,96.0,2002,169363
복수는 나의 것,121.0,2002,3231110
猫の恩返し,75.0,2002,864264
Tasogare Seibei,129.0,2002,12129841
Phone Booth,81.0,2002,161704740
The Count of Monte Cristo,131.0,2002,124612564
The Mothman Prophecies,119.0,2002,91164109
A Walk to Remember,101.0,2002,68139897
Stevie,140.0,2002,160321
Deathwatch,94.0,2002,3752932
Raising Victor Vargas,88.0,2002,4654462
Heremakono,91.0,2002,12240
Astérix & Obélix Mission Cléopâtre,108.0,2002,183671073
Death to Smoochy,109.0,2002,13855278
Ballistic: Ecks vs. Sever,91.0,2002,32930343
The Rookie,127.0,2002,124946419
Nicholas Nickleby,132.0,2002,6035118
The Lord of the Rings: The Two Towers,179.0,2002,1530963263
Drumline,118.0,2002,95181965
The Hot Chick,104.0,2002,57982613
Maid in Manhattan,105.0,2002,256029021
Chicago,113.0,2002,507039075
Life or Something Like It,103.0,2002,27887067
Salton Sea,103.0,2002,1118443
Star Trek: Nemesis,117.0,2002,111254308
Pinocchio,108.0,2002,68298733
The Pianist,150.0,2002,198455365
Catch Me If You Can,141.0,2002,581972804
Unfaithful,124.0,2002,196910344
Panic Room,111.0,2002,324604682
Narc,105.0,2002,20880994
Morvern Callar,97.0,2002,1206337
Hollywood Ending,112.0,2002,24526459
Spider-Man,121.0,2002,1358115855
Two Weeks Notice,101.0,2002,154296549
Gangs of New York,167.0,2002,320266242
Crackerjack,92.0,2002,14214037
Antwone Fisher,120.0,2002,38621831
About Schmidt,125.0,2002,174922834
Sonny,110.0,2002,49592
The Hours,114.0,2002,68752689
Joshua,91.0,2002,2227947
Teddy Bears' Picnic,80.0,2002,46524
May,93.0,2002,248377
High Crimes,115.0,2002,105418262
National Lampoon’s Van Wilder,92.0,2002,63261530
D-Tox,96.0,2002,10604832
Confessions of a Dangerous Mind,113.0,2002,54565054
Changing Lanes,89.0,2002,156909364
The Sweetest Thing,84.0,2002,113541683
My Big Fat Greek Wedding,95.0,2002,609458344
Choses secrètes,115.0,2002,173692
25th Hour,135.0,2002,21586897
Star Wars: Episode II - Attack of the Clones,142.0,2002,1073322365
About a Boy,101.0,2002,213210566
The Scorpion King,92.0,2002,273261867
Murder by Numbers,120.0,2002,93736863
Cidade de Deus,130.0,2002,50644566
The Mother,112.0,2003,1728275
Tere Naam,132.0,2003,3
Thirteen,100.0,2003,7485853
"The Tulse Luper Suitcases, Part 1: The Moab Story",127.0,2003,41976
Honey,94.0,2003,101925688
The Dreamers,115.0,2003,24601991
Something's Gotta Give,128.0,2003,433965123
"Good bye, Lenin!",121.0,2003,129158445
Calendar Girls,108.0,2003,157073013
Stuck on You,118.0,2003,55038352
The Last Samurai,154.0,2003,743142524
The Lord of the Rings: The Return of the King,201.0,2003,1820421742
Dallas 362,100.0,2003,30795
Mona Lisa Smile,117.0,2003,229955565
Girl with a Pearl Earring,101.0,2003,51196166
Big Fish,125.0,2003,199988135
Cheaper by the Dozen,98.0,2003,309473301
Tupac: Resurrection,112.0,2003,12704394
Días de fútbol,113.0,2003,19869008
Coffee and Cigarettes,96.0,2003,12849393
The Mudge Boy,94.0,2003,102259
Timeline,116.0,2003,71483069
The Haunted Mansion,87.0,2003,296584531
Young Adam,93.0,2003,4067476
Hangman's Curse,106.0,2003,273994
Touching the Void,106.0,2003,22592067
The Company,112.0,2003,3712117
The United States of Leland,108.0,2003,559385
Bad Santa,91.0,2003,124446695
Ned Kelly,110.0,2003,10714571
बागबान,183.0,2003,1789689
Dogville,178.0,2003,27139561
21 Grams,124.0,2003,98315520
봄 여름 가을 겨울 그리고 봄,103.0,2003,10579284
Gothika,98.0,2003,230367739
Peter Pan,113.0,2003,198452184
Paycheck,119.0,2003,156630069
Cold Mountain,154.0,2003,281491335
Flywheel,120.0,2003,60198
Intermission,105.0,2003,7901150
Monster,110.0,2003,98235382
House of Sand and Fog,126.0,2003,27565766
In America,105.0,2003,40486469
Latter Days,107.0,2003,1334032
Les Invasions barbares,99.0,2003,5584387
Fat Pizza,96.0,2003,12833867
Dickie Roberts: Former Child Star,98.0,2003,38713666
Looney Tunes: Back in Action,90.0,2003,111473000
A Man Apart,109.0,2003,72158535
Levity,100.0,2003,340286
Anger Management,106.0,2003,318476594
Ghosts of the Abyss,92.0,2003,27725335
Бумер,110.0,2003,2603184
The Corporation,145.0,2003,7321457
The Visual Bible: The Gospel of John,125.0,2003,6620370
House of 1000 Corpses,89.0,2003,27381509
Ong Bak,105.0,2003,24
올드보이,120.0,2003,24372325
Foolproof,97.0,2003,750006
La finestra di fronte,106.0,2003,25267287
कल हो ना हो,186.0,2003,21476666
Pahat pojat,120.0,2003,7774287
"Milwaukee, Minnesota",95.0,2003,28228
Bulletproof Monk,104.0,2003,61360122
Chasing Papi,80.0,2003,9967329
A Mighty Wind,91.0,2003,30506472
Malibu's Most Wanted,86.0,2003,56330485
Les triplettes de Belleville,80.0,2003,2404164
My Life Without Me,106.0,2003,15825661
Identity,90.0,2003,146851407
The Lizzie McGuire Movie,94.0,2003,90354030
X2,133.0,2003,663342818
Daddy Day Care,92.0,2003,267532339
Stander,116.0,2003,51495
The Matrix Reloaded,138.0,2003,1201694698
What a Girl Wants,105.0,2003,82540708
Master and Commander: The Far Side of the World,138.0,2003,344940064
Biker Boyz,110.0,2003,38251524
Final Destination 2,90.0,2003,147122902
The Recruit,115.0,2003,164638234
Blackball,96.0,2003,78095
How to Lose a Guy in 10 Days,116.0,2003,288581649
Shanghai Knights,115.0,2003,143701474
Daredevil,103.0,2003,291523699
The Jungle Book 2,72.0,2003,220750071
Gods and Generals,214.0,2003,21027121
The Life of David Gale,130.0,2003,63380387
Old School,91.0,2003,141638226
Cradle 2 the Grave,101.0,2003,91907974
Bringing Down the House,105.0,2003,215861618
Tears of the Sun,121.0,2003,139323195
The Hunted,94.0,2003,55698405
Willard,100.0,2003,13905344
Cowboys & Angels,89.0,2003,54829
Антикиллер 2: Антитеррор,125.0,2003,4368469
Даже не думай,82.0,2003,1138893
Dreamcatcher,136.0,2003,123188295
View from the Top,87.0,2003,25403829
Torremolinos 73,87.0,2003,2960162
А поутру они проснулись,0.0,2003,381932
Basic,98.0,2003,69623090
The Core,136.0,2003,120736145
Head of State,95.0,2003,62835160
Down with Love,101.0,2003,33024990
Bruce Almighty,101.0,2003,788395400
The In-Laws,98.0,2003,33256705
Camp,114.0,2003,2648991
American Wedding,103.0,2003,376565655
Gigli,121.0,2003,11822053
Freaky Friday,97.0,2003,179343703
S.W.A.T.,117.0,2003,189777616
Le Divorce,117.0,2003,21137854
Freddy vs. Jason,97.0,2003,186955575
Open Range,139.0,2003,111117420
Uptown Girls,92.0,2003,60354281
American Splendor,101.0,2003,9767779
Agent Cody Banks,102.0,2003,95660230
Underworld,121.0,2003,155716750
The Fighting Temptations,122.0,2003,49197877
Cold Creek Manor,118.0,2003,34791621
Anything Else,108.0,2003,22102788
Twist,97.0,2003,77070
Lost in Translation,102.0,2003,194789576
Once Upon a Time in Mexico,102.0,2003,159747009
Matchstick Men,116.0,2003,106674725
Cabin Fever,93.0,2003,49710081
Party Monster,98.0,2003,1208687
Marci X,84.0,2003,2726357
The Medallion,88.0,2003,55754851
Jeepers Creepers 2,104.0,2003,102667438
Nola,97.0,2003,17164
Spy Kids 3-D: Game Over,84.0,2003,320536623
Seabiscuit,141.0,2003,241341987
Lara Croft Tomb Raider: The Cradle of Life,117.0,2003,254632779
Johnny English,88.0,2003,261267045
Finding Nemo,100.0,2003,1529916986
The Italian Job,110.0,2003,286464496
Wrong Turn,84.0,2003,46614213
Capturing the Friedmans,107.0,2003,5072931
2 Fast 2 Furious,107.0,2003,384540280
Whale Rider,101.0,2003,67357406
Mambo Italiano,92.0,2003,4932711
Luther,123.0,2003,47856135
Under the Tuscan Sun,113.0,2003,95795123
The Rundown,104.0,2003,131650363
Duplex,89.0,2003,31436930
Tarnation,91.0,2003,1890585
National Security,88.0,2003,81508887
Dumb and Dumberer: When Harry Met Lloyd,85.0,2003,63887873
Hollywood Homicide,116.0,2003,83208620
Alex & Emma,96.0,2003,25005049
Charlie's Angels: Full Throttle,106.0,2003,421676545
Hulk,138.0,2003,399199170
"Legally Blonde 2: Red, White & Blonde",95.0,2003,203235261
Sinbad: Legend of the Seven Seas,86.0,2003,42770846
Terminator 3: Rise of the Machines,109.0,2003,707740868
Swimming Pool,102.0,2003,36511819
Pirates of the Caribbean: The Curse of the Black Pearl,143.0,2003,1065697040
The League of Extraordinary Gentlemen,110.0,2003,291662784
I Capture the Castle,113.0,2003,10715914
Bad Boys II,147.0,2003,444720861
From Justin to Kelly,90.0,2003,8008317
Lady Killers,90.0,2003,857423
Monsieur Ibrahim et les fleurs du Coran,94.0,2003,18834743
Veronica Guerin,98.0,2003,2554241
The Order,102.0,2003,18809321
The Singing Detective,109.0,2003,548578
Elephant,81.0,2003,16289464
Brother Bear,85.0,2003,407394839
Scary Movie 3,84.0,2003,359033228
Radio,109.0,2003,85054971
In the Cut,119.0,2003,37
"The Book of Mormon Movie, Volume 1: The Journey",120.0,2003,2721515
9 Dead Gay Guys,83.0,2003,42915
Sylvia,109.0,2003,16269905
Pieces of April,81.0,2003,5323558
The Texas Chainsaw Massacre,98.0,2003,174204565
Runaway Jury,127.0,2003,130410024
The Human Stain,106.0,2003,31530078
I'll Sleep When I'm Dead,97.0,2003,798793
Kaena: La prophétie,85.0,2003,13829
Dopamine,79.0,2003,36246
Kopps,90.0,2003,13
Kill Bill: Vol. 1,111.0,2003,294402304
Intolerable Cruelty,100.0,2003,195142566
House of the Dead,90.0,2003,22482049
Khel,174.0,2003,53671125
Out of Time,105.0,2003,90290753
Mystic River,138.0,2003,255147937
Taxi 3,82.0,2003,106563335
A Guy Thing,101.0,2003,28361963
Wonderland,104.0,2003,4012880
The Station Agent,88.0,2003,14121974
Saamy,140.0,2003,4
"Die, Mommie, Die!",90.0,2003,520786
School of Rock,108.0,2003,213596111
Blue Collar Comedy Tour: The Movie,105.0,2003,984094
Just Married,95.0,2003,165245184
Love Actually,135.0,2003,398501657
Shattered Glass,94.0,2003,4791083
The Matrix Revolutions,129.0,2003,691451783
Elf,97.0,2003,282117741
Český sen,90.0,2004,27670
Agent Cody Banks 2: Destination London,100.0,2004,45847450
Against the Ropes,106.0,2004,10522499
Taxi,97.0,2004,58241920
Primer,77.0,2004,675740
Stage Beauty,106.0,2004,1235619
Shall We Dance?,107.0,2004,270653301
Team America: World Police,98.0,2004,80987401
Il cartaio,103.0,2004,2352972
Mindhunters,106.0,2004,33645166
De-Lovely,125.0,2004,29266364
Deux frères,109.0,2004,98908028
Straight-Jacket,96.0,2004,72380
The Notebook,123.0,2004,183910414
The Door in the Floor,111.0,2004,10682839
Control Room,84.0,2004,4114818
White Chicks,109.0,2004,179906570
Dear Frankie,105.0,2004,4741027
The Terminal,128.0,2004,349065667
Banlieue 13,84.0,2004,15247164
Raise Your Voice,103.0,2004,23652372
How to Get the Man’s Foot Outta Your Ass,108.0,2004,581064
Shark Tale,90.0,2004,584289051
Napoleon Dynamite,95.0,2004,73368178
Country of My Skull,103.0,2004,260165
イノセンス,100.0,2004,15574121
Gegen die Wand,121.0,2004,17548733
The Stepford Wives,93.0,2004,162269362
Catch That Kid,92.0,2004,26572187
Populärmusik från Vittula,100.0,2004,44544530
Garfield,80.0,2004,319455134
Narco,105.0,2004,1309701
50 First Dates,99.0,2004,312579921
First Daughter,105.0,2004,16545111
Miracle,135.0,2004,102525136
2046,129.0,2004,30658269
The Forgotten,91.0,2004,187048269
Spartan,102.0,2004,12906319
Secret Window,96.0,2004,147813343
Garv: Pride and Honour,162.0,2004,17499637
A Dirty Shame,89.0,2004,3045200
The Girl Next Door,108.0,2004,48380424
Diarios de motocicleta,126.0,2004,26657311
Shaun of the Dead,99.0,2004,47788950
The Chronicles of Riddick,119.0,2004,184180074
Voditel dlya Very,105.0,2004,3200583
DodgeBall: A True Underdog Story,92.0,2004,266825415
Ladder 49,115.0,2004,118586620
Around the World in 80 Days,120.0,2004,114827679
Harry Potter and the Prisoner of Azkaban,141.0,2004,1256481191
Super Size Me,100.0,2004,45459408
Twisted,97.0,2004,40082123
Club Dread,104.0,2004,7957013
Blade: Trinity,123.0,2004,205072466
Ocean's Twelve,125.0,2004,577081206
Non ti muovere,125.0,2004,18831235
Bridget Jones: The Edge of Reason,108.0,2004,63958023
Finding Neverland,106.0,2004,185761123
Dirty Dancing: Havana Nights,86.0,2004,44043430
十面埋伏,119.0,2004,147735031
Veer-Zaara,192.0,2004,46748403
National Treasure,131.0,2004,552752915
La mala educación,106.0,2004,64059779
The SpongeBob SquarePants Movie,87.0,2004,222980045
Closer,104.0,2004,183754187
Shrek 2,93.0,2004,1463349499
The Day After Tomorrow,124.0,2004,865869958
Raising Helen,119.0,2004,79096150
El asombroso mundo de Borjamari y Pocholo,90.0,2004,5357507
FBI: Frikis buscan incordiar,85.0,2004,1476955
Soul Plane,86.0,2004,23580516
Moscow Heat,89.0,2004,1749963
The Passion of the Christ,127.0,2004,973456165
Saved!,92.0,2004,16158422
After the Sunset,97.0,2004,97596744
Touch the Sound,99.0,2004,281268
Friday Night Lights,118.0,2004,97450580
Confessions of a Teenage Drama Queen,89.0,2004,46662095
The Final Cut,95.0,2004,871862
Surviving Christmas,91.0,2004,23534822
The Grudge,92.0,2004,291885360
Alfie,103.0,2004,21311279
Sideways,126.0,2004,174204597
The Machinist,101.0,2004,13050330
Vera Drake,125.0,2004,20588827
Alexander,175.0,2004,266150695
Undertow,108.0,2004,228445
Stateside,97.0,2004,277318
EuroTrip,93.0,2004,33085206
Ray,152.0,2004,198432416
Starsky & Hutch,101.0,2004,270876485
Birth,100.0,2004,38062493
The Incredibles,115.0,2004,1004546135
Hidalgo,136.0,2004,171979195
The Polar Express,100.0,2004,486610389
Kinsey,118.0,2004,26915592
Seed of Chucky,87.0,2004,39500887
Saw,103.0,2004,165310591
I Like Killing Flies,80.0,2004,22272
Lemony Snicket's A Series of Unfortunate Events,108.0,2004,332610265
Mar adentro,125.0,2004,61304762
Man on Fire,146.0,2004,207281156
13 Going on 30,98.0,2004,153449063
Garden State,102.0,2004,42606403
The Village,108.0,2004,408373950
Thunderbirds,95.0,2004,44995762
功夫,99.0,2004,160542379
Crash,112.0,2004,156558214
Ночной дозор,114.0,2004,50908035
The Punisher,124.0,2004,87021089
Kill Bill: Vol. 2,136.0,2004,242066850
Connie and Carla,98.0,2004,18042151
Jiminy Glick in Lalawood,90.0,2004,57333
The Butterfly Effect,113.0,2004,152820923
Win a Date with Tad Hamilton!,95.0,2004,27013232
Mysterious Skin,105.0,2004,2426031
The Big Bounce,88.0,2004,10831559
The Whole Ten Yards,98.0,2004,41610606
The Work and the Glory,110.0,2004,5325691
Highwaymen,80.0,2004,590845
Wicker Park,114.0,2004,20683389
Wimbledon,98.0,2004,66040459
Hellboy,122.0,2004,158004203
Home on the Range,76.0,2004,165373895
Envy,99.0,2004,23197781
Walking Tall,86.0,2004,91036119
ハウルの動く城,119.0,2004,373395254
Алеша Попович и Тугарин Змей,72.0,2004,2752215
Paparazzi,84.0,2004,26417711
Johnson Family Vacation,97.0,2004,49602746
The Alamo,137.0,2004,41076358
Ella Enchanted,96.0,2004,43572134
9 Songs,66.0,2004,2505030
Ladies in Lavender,104.0,2004,32417401
Godsend,102.0,2004,47908417
Mean Girls,97.0,2004,205291219
Harold & Kumar Go to White Castle,88.0,2004,38080654
Chasing Liberty,111.0,2004,19
My Baby's Daddy,86.0,2004,81
Along Came Polly,90.0,2004,273572441
The Princess Diaries 2: Royal Engagement,113.0,2004,151370962
AVP: Alien vs. Predator,101.0,2004,272332317
Yu-Gi-Oh! The Movie,90.0,2004,46406508
We Don't Live Here Anymore,101.0,2004,3241481
Without a Paddle,95.0,2004,110774481
Exorcist: The Beginning,114.0,2004,124089268
Teacher's Pet,74.0,2004,10327918
Torque,84.0,2004,74049232
Woman Thou Art Loosed,94.0,2004,10824346
Napola – Elite für den Führer,117.0,2004,5988406
The Year of the Yao,88.0,2004,61383
Troy,163.0,2004,791317447
Melinda and Melinda,100.0,2004,31954059
Mickey,90.0,2004,467388
New York Minute,91.0,2004,33869475
Van Helsing,132.0,2004,477672442
Collateral,120.0,2004,346436006
Little Black Book,111.0,2004,35054687
The Cookout,97.0,2004,19
Laws of Attraction,90.0,2004,47751999
Dhoom,124.0,2004,19090513
Crónicas,108.0,2004,476087
Vizontele Tuuba,111.0,2004,22199842
Suspect Zero,99.0,2004,20681389
Anacondas: The Hunt for the Blood Orchid,97.0,2004,112940904
Welcome to Mooseport,110.0,2004,22272265
RRRrrrr!!!,94.0,2004,22358747
Vanity Fair,141.0,2004,25651049
Scooby-Doo 2: Monsters Unleashed,93.0,2004,288691248
The Manchurian Candidate,129.0,2004,152892681
It's All Gone Pete Tong,90.0,2004,191891
The Assassination of Richard Nixon,95.0,2004,5628457
Meet the Fockers,115.0,2004,821914906
Dawn of the Dead,101.0,2004,162836320
Never Die Alone,88.0,2004,9422759
The Phantom of the Opera,143.0,2004,246027218
The Aviator,170.0,2004,162269362
The Life Aquatic with Steve Zissou,119.0,2004,55375856
Hotel Rwanda,121.0,2004,60453291
Million Dollar Baby,132.0,2004,344844104
내 여자친구를 소개합니다,123.0,2004,8481560
キャシャーン,141.0,2004,2434384
Mr. 3000,104.0,2004,34681579
What the #$*! Do We (K)now!?,109.0,2004,15908761
When Will I Be Loved,81.0,2004,253631
Riding Giants,105.0,2004,5036713
Dig!,107.0,2004,202147
Born into Brothels,85.0,2004,5592026
태극기 휘날리며,140.0,2004,23
Primo amore,100.0,2004,14941
She Hate Me,138.0,2004,580882
The Heart is Deceitful Above All Things,98.0,2004,280237
Fahrenheit 9/11,122.0,2004,189496438
Mean Creek,90.0,2004,960798
Flight of the Phoenix,113.0,2004,33423002
Layer Cake,105.0,2004,18852222
Open Water,79.0,2004,86969941
Sky Captain and the World of Tomorrow,107.0,2004,92205104
Spanglish,130.0,2004,87563995
Barbershop 2:  Back in Business,106.0,2004,103518963
A Love Song for Bobby Long,119.0,2004,2929216
Spider-Man 2,127.0,2004,1246875143
The Woodsman,87.0,2004,7442762
Taking Lives,103.0,2004,104155500
A Cinderella Story,95.0,2004,111469362
"I, Robot",115.0,2004,552407730
The Bourne Supremacy,108.0,2004,458968101
Aitraaz,159.0,2004,14715603
Take Out,87.0,2004,111068
Catwoman,104.0,2004,130614712
Jersey Girl,102.0,2004,57428053
Anchorman: The Legend of Ron Burgundy,94.0,2004,144092311
A Home at the End of the World,96.0,2004,2464195
Cellular,94.0,2004,89761504
Superbabies: Baby Geniuses 2,88.0,2004,14491802
The Clearing,95.0,2004,19919039
Der Untergang,156.0,2004,146648406
Before Sunset,80.0,2004,25442269
Voces inocentes,120.0,2004,1331563
Eternal Sunshine of the Spotless Mind,108.0,2004,114953725
Resident Evil: Apocalypse,94.0,2004,205851151
アップルシード,101.0,2004,2325843
King Arthur,126.0,2004,323851239
Moolaadé,124.0,2004,341409
FC Venus,107.0,2005,3736511
The Piano Tuner of Earthquakes,99.0,2005,43310
Cruel World,88.0,2005,25323
One Bright Shining Moment,123.0,2005,24021
웰컴 투 동막골,133.0,2005,52028398
The Mostly Unfabulous Social Life of Ethan Green,88.0,2005,236763
Lepel,96.0,2005,2462157
Sarkar,123.0,2005,9141431
The Work and the Glory II: American Zion,100.0,2005,3137574
Shabd,0.0,2005,4803124
Chaahat Ek Nasha...,0.0,2005,216
Chaos,74.0,2005,31245
Always san-chôme no yûh,133.0,2005,51213023
Žižek!,71.0,2005,62488
OPA!,100.0,2005,9296370
Космос как предчувствие,90.0,2005,1079434
15,95.0,2005,43
The Magic Roundabout,85.0,2005,41355281
Прямохождение,90.0,2005,4338
Bluffmaster!,137.0,2005,11051962
녹색 의자,98.0,2005,3098790
Solntse,110.0,2005,117
Melissa P.,100.0,2005,7982384
அந்நியன்,181.0,2005,13169858
Four Eyed Monsters,71.0,2005,379601
남극일기,114.0,2005,10071068
Deewane Huye Paagal,150.0,2005,551525
Бой с Тенью,126.0,2005,12802393
The Derby Stallion,98.0,2005,6197580
Shopgirl,104.0,2005,17954708
Brokeback Mountain,134.0,2005,275860136
Flightplan,98.0,2005,346115193
Corpse Bride,77.0,2005,181581456
Green Street Hooligans,109.0,2005,4887328
A History of Violence,96.0,2005,94111541
Oliver Twist,130.0,2005,65219783
The Greatest Game Ever Played,120.0,2005,23908990
Capote,114.0,2005,76051796
Into the Blue,110.0,2005,68846503
Mirrormask,101.0,2005,1343324
The Curse of the Were-Rabbit,85.0,2005,298185480
Kiss Kiss Bang Bang,103.0,2005,24457431
Beowulf & Grendel,103.0,2005,142662
Goal!: The Dream Begins,118.0,2005,42780152
The Exorcism of Emily Rose,122.0,2005,223448293
In Her Shoes,130.0,2005,128714269
Two for the Money,122.0,2005,47297624
Elizabethtown,123.0,2005,80622603
North Country,126.0,2005,39082317
"Good Night, and Good Luck.",93.0,2005,84596974
The Proposition,104.0,2005,7822420
The Fog,100.0,2005,71584273
Kids in America,91.0,2005,833058
Where the Truth Lies,107.0,2005,5388297
Emmanuel's Gift,80.0,2005,36531
Stay,99.0,2005,12925258
Harsh Times,120.0,2005,9245299
The Legend of Zorro,129.0,2005,220633967
The Weather Man,101.0,2005,19340750
The Squid and the Whale,81.0,2005,17195390
The Man,83.0,2005,19185171
An Unfinished Life,108.0,2005,28847078
Æon Flux,93.0,2005,81039564
Batalla en el cielo,96.0,2005,392813
Four Brothers,109.0,2005,143124869
The Great Raid,132.0,2005,15751928
The Quiet,96.0,2005,590970
My Date with Drew,90.0,2005,407134
Hard Candy,103.0,2005,10880176
Duma,100.0,2005,1541322
Black,122.0,2005,1135852
The 40 Year Old Virgin,116.0,2005,169580114
Caché,117.0,2005,55778224
Supercross,80.0,2005,4807075
Valiant,76.0,2005,30179282
